CNTRY,MID,LOW,HIGH
AUT,467,121,797
BEL,2841,91,5007
BGR,44,36,63
CHE,1981,497,3247
CYP,143,62,279
CZE,375,48,628
DEUTNP,7319,620,12132
DNK,24,4,56
EST,12,0,22
ESP,41326,33495,53802
FIN,23,3,44
FRATNP,38728,14235,72947
GRC,2838,1520,5606
HRV,1145,624,1811
HUN,559,191,985
IRL,1566,476,4195
ISL,3,1,5
ITA,41965,23694,57401
LTU,15,1,25
LUX,392,12,820
LVA,17,1,30
MLT,0,0,0
NLD,1984,126,4114
NOR,15,4,34
POL,313,52,561
PRT,4573,3808,6284
ROU,177,97,301
SWE,52,10,113
SVN,561,251,847
SVK,63,17,118
GBR_NP,2515,388,7484
