Test,Column2,ISO3,In_study,COUNTRY,BASE_e0,LOW_e0,MID_e0,High_e0,DIF_LOW,DIF_MID,DIF_HIGH,RANK, Column1 ,Column2,Column3
ESP,ESP0,ESP,In_study,Spain,84.9,84.1,83.9,83.6,-0.80,-0.98,-1.25,2.00," 46,512,377 ",0.16,-0.16
LUX,LUX0,LUX,In_study,Luxembourg,84.4,84.4,83.3,82.3,-0.04,-1.13,-2.16,1.00," 549,609 ",0.00,0.00
FRA,FRATNP0,FRA,In_study,France,84.5,84.2,83.7,83.2,-0.28,-0.74,-1.33,4.00, -   ,0.00,0.00
ITA,ITA0,ITA,In_study,Italy,84.4,83.9,83.6,83.3,-0.47,-0.80,-1.07,3.00," 60,778,022 ",0.21,-0.17
IRL,IRL0,IRL,In_study,Ireland,83.1,83.0,82.6,81.8,-0.17,-0.54,-1.34,5.00," 4,605,111 ",0.02,-0.01
PRT,PRT0,PRT,In_study,Portugal,83.1,82.7,82.7,82.5,-0.36,-0.43,-0.58,6.00," 10,374,822 ",0.04,-0.02
SVN,SVN0,SVN,In_study,Switzerland,83.6,83.5,83.4,83.3,-0.09,-0.19,-0.29,10.00," 2,061,058 ",0.01,0.00
CHE,CHE0,CHE,In_study,Slovenia,84.2,84.1,83.9,83.8,-0.06,-0.25,-0.41,9.00," 8,139,537 ",0.03,-0.01
BEL,BEL0,BEL,In_study,Greece,83.2,83.2,82.9,82.7,-0.01,-0.29,-0.50,7.00," 11,258,395 ",0.04,-0.01
GRC,GRC0,GRC,In_study,Belgium,83.5,83.4,83.3,83.0,-0.14,-0.26,-0.51,8.00," 10,993,687 ",0.04,-0.01
HRV,HRV0,HRV,In_study,Croatia,80.9,80.8,80.7,80.6,-0.08,-0.15,-0.24,12.00," 4,225,287 ",0.01,0.00
NLD,NLD0,NLD,In_study,Netherlands,83.3,83.3,83.1,82.9,-0.01,-0.19,-0.38,11.00," 16,829,298 ",0.06,-0.01
DEU,DEUTNP0,DEU,In_study,Germany,82.6,82.6,82.6,82.5,-0.01,-0.08,-0.13,13.00, -   ,0.00,0.00
AUT,AUT0,AUT,In_study,Austria,83.4,83.4,83.4,83.3,-0.01,-0.05,-0.09,14.00," 8,507,828 ",0.03,0.00
HUN,HUN0,HUN,In_study,Hungary,80.8,80.8,80.8,80.8,-0.01,-0.03,-0.05,16.00," 9,877,478 ",0.03,0.00
GBR,GBR_NP0,GBR,In_study,Great Britain,82.9,82.9,82.9,82.8,-0.01,-0.05,-0.14,15.00, -   ,0.00,0.00
CZE,CZE0,CZE,In_study,Czech Republic,82.0,82.0,82.0,82.0,0.00,-0.02,-0.04,17.00," 10,512,405 ",0.04,0.00
SVK,SVK0,SVK,In_study,Slovakia,81.1,81.1,81.1,81.1,0.00,-0.01,-0.01,19.00," 5,416,092 ",0.02,0.00
ISL,ISL0,ISL,In_study,Iceland,83.4,83.4,83.3,83.3,0.00,-0.01,-0.02,18.00," 321,856 ",0.00,0.00
POL,POL0,POL,In_study,Estonia,82.4,82.4,82.4,82.4,0.00,-0.01,-0.01,21.00," 38,495,641 ",0.13,0.00
EST,EST0,EST,In_study,Sweden,82.4,82.4,82.4,82.4,0.00,0.00,-0.01,23.00," 1,320,174 ",0.00,0.00
LVA,LVA0,LVA,In_study,Norway,80.8,80.8,80.8,80.8,0.00,0.00,-0.01,25.00," 2,023,805 ",0.01,0.00
SWE,SWE0,SWE,In_study,Poland,83.2,83.2,83.2,83.2,0.00,-0.01,-0.01,20.00," 9,644,832 ",0.03,0.00
DNK,DNK0,DNK,In_study,Lituania,82.7,82.7,82.7,82.7,0.00,-0.01,-0.01,22.00," 5,627,220 ",0.02,0.00
LTU,LTU0,LTU,In_study,Denmark,80.8,80.8,80.8,80.8,0.00,0.00,0.00,28.00," 2,971,733 ",0.01,0.00
BGR,BGR0,BGR,In_study,Bulgaria,79.0,79.0,79.0,79.0,0.00,0.00,0.00,26.00," 7,432,025 ",0.03,0.00
FIN,FIN0,FIN,In_study,Finland,83.5,83.5,83.5,83.5,0.00,0.00,-0.01,27.00," 5,471,753 ",0.02,0.00
NOR,NOR0,NOR,In_study,Latvia,83.2,83.2,83.1,83.1,0.00,0.00,-0.01,24.00," 5,109,061 ",0.02,0.00
